Date : 2025-01-27 17:55:28
Directory : /home/manuareraa/Manu/github/exira/platform/frontend
Total : 118 files,  21570 codes, 127 comments, 1029 blanks, all 22726 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sonner.tsx                                      | TypeScript JSX     |         26 |          0 |          6 |         32 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/switch.tsx                                      | TypeScript JSX     |         25 |          0 |          5 |         30 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/table.tsx                                       | TypeScript JSX     |        107 |          0 |         11 |        118 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/tabs.tsx                                        | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/textarea.tsx                                    | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toast.tsx                                       | TypeScript JSX     |        116 |          0 |         14 |        130 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toaster.tsx                                     | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toggle-group.tsx                                | TypeScript JSX     |         52 |          0 |         10 |         62 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toggle.tsx                                      | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/tooltip.tsx                                     | TypeScript JSX     |         23 |          0 |          8 |         31 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/use-mobile.tsx                                  | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /home/manuareraa/Manu/github/exira/platform/frontend/components/ui/use-toast.ts                                    | TypeScript         |        160 |          3 |         32 |        195 |
| /home/manuareraa/Manu/github/exira/platform/frontend/config/sidebar.ts                                             | TypeScript         |         13 |          0 |          3 |         16 |
| /home/manuareraa/Manu/github/exira/platform/frontend/context/GlobalStateContext.tsx                                | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/use-mobile.tsx                                          | TypeScript JSX     |         15 |          0 |          5 |         20 |
