"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 12
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 0, 18, 154
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 0, 26, 179
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 0, 20, 237
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
